asset,group
BTC-USD,crypto
ETH-USD,crypto
VIX,volatility
^VIX,volatility
DBA,commodities_broad
DBC,commodities_broad
USO,energy
XLE,energy
XOP,energy
GLD,metals
SLV,metals
TLT,bonds_rates
IEF,bonds_rates
SHY,bonds_rates
TIP,bonds_rates
LQD,bonds_rates
HYG,bonds_rates
UUP,fx
FXE,fx
FXY,fx
SPY,equities_us_broad
VTI,equities_us_broad
DIA,equities_us_broad
RSP,equities_us_broad
QQQ,equities_us_broad
IWM,equities_us_broad
VT,equities_us_broad
XLB,equities_us_sectors
XLF,equities_us_sectors
KRE,equities_us_sectors
XLI,equities_us_sectors
XLK,equities_us_sectors
XLP,equities_us_sectors
XLRE,equities_us_sectors
XLU,equities_us_sectors
XLV,equities_us_sectors
XLY,equities_us_sectors
EEM,equities_international
EFA,equities_international
EWJ,equities_international
EWZ,equities_international
