sector,n_assets,risk_mean,confidence_mean,pct_instavel,pct_transicao,switches_30d_mean,switches_90d_mean,switches_180d_mean,delta_corr120_5d_mean,delta_vol60_5d_mean,alerta_setor,plano_acao
crypto,1,0.6811702127659576,0.6880851063829787,0.0,1.0,0.0,1.0,3.0,0.0054637807672852645,-0.011719822289845638,amarelo,modo cautela e reduzir concentracao
consumer_discretionary,47,0.6435423268447261,0.4581575373472159,0.23404255319148937,0.6170212765957447,1.3617021276595744,3.595744680851064,6.382978723404255,0.007557671888450077,0.009301164436000767,vermelho,reduzir risco e hedge no setor
materials,26,0.6412929623567921,0.5053518821603927,0.23076923076923078,0.6153846153846154,1.3461538461538463,3.576923076923077,6.461538461538462,0.014237343036964507,0.0205241093169352,vermelho,reduzir risco e hedge no setor
equities_us_other,5,0.5657872340425532,0.3830212765957447,0.0,1.0,0.0,3.6,5.2,0.013465032315188627,-0.0032329913373213004,verde,monitorar normalmente
industrials,94,0.5584631054775917,0.5482548664554097,0.09574468085106383,0.7659574468085106,0.7127659574468085,2.095744680851064,4.648936170212766,0.004659435887410311,0.014114368801447391,verde,monitorar normalmente
technology,56,0.5501120820668693,0.5110980243161094,0.07142857142857142,0.7678571428571429,0.5178571428571429,1.875,4.803571428571429,0.013625533449749922,0.017721320566723417,verde,monitorar normalmente
financials,55,0.5046112185686653,0.5096634429400387,0.09090909090909091,0.7818181818181819,0.6727272727272727,2.5454545454545454,4.745454545454545,-0.0028986475522619,0.0159982325071708,verde,monitorar normalmente
equities_us_broad,1,0.5023404255319149,0.4753191489361702,0.0,1.0,0.0,5.0,7.0,0.006598919721056973,-0.007265173220374843,verde,monitorar normalmente
energy,46,0.4643385753931545,0.5983950046253469,0.08695652173913043,0.5869565217391305,0.32608695652173914,1.2173913043478262,3.608695652173913,0.014951215757296427,0.004819491282709636,verde,monitorar normalmente
health_care,42,0.4470263424518744,0.487355623100304,0.07142857142857142,0.8333333333333334,0.9523809523809523,3.0476190476190474,5.571428571428571,0.0007287790248274869,0.012698362290231717,verde,monitorar normalmente
real_estate,36,0.41919917257683215,0.42227541371158395,0.25,0.6111111111111112,2.0,4.361111111111111,6.722222222222222,-0.006461577820958884,0.011073707618678796,vermelho,reduzir risco e hedge no setor
consumer_staples,32,0.338061835106383,0.4647872340425532,0.03125,0.78125,0.84375,4.0,6.65625,-0.0037034190875618444,0.003003857977531472,verde,monitorar normalmente
utilities,28,0.2594756838905775,0.3591337386018237,0.14285714285714285,0.8571428571428571,1.0714285714285714,3.5,6.607142857142857,-0.04738375549313494,0.0078011840707062395,amarelo,modo cautela e reduzir concentracao
bonds_rates,1,0.20287234042553193,0.43404255319148943,0.0,1.0,1.0,6.0,6.0,-0.007735912586940466,5.629047532104692e-05,verde,monitorar normalmente
